time_iso8601,stars_cumulative
2022-10-12 00:00:00+00:00,505
2022-10-13 00:00:00+00:00,506
2022-10-14 00:00:00+00:00,507
2022-10-15 00:00:00+00:00,508
2022-10-16 00:00:00+00:00,509
2022-10-18 00:00:00+00:00,510
2022-10-19 00:00:00+00:00,512
2022-10-22 00:00:00+00:00,513
2022-10-24 00:00:00+00:00,514
2022-10-27 00:00:00+00:00,517
2022-10-28 00:00:00+00:00,518
2022-10-30 00:00:00+00:00,519
2022-11-01 00:00:00+00:00,520
2022-11-04 00:00:00+00:00,521
2022-11-08 00:00:00+00:00,522
2022-11-10 00:00:00+00:00,523
2022-11-11 00:00:00+00:00,524
2022-11-13 00:00:00+00:00,525
2022-11-16 00:00:00+00:00,526
2022-11-23 00:00:00+00:00,527
2022-11-27 00:00:00+00:00,528
2022-11-28 00:00:00+00:00,529
2022-11-29 00:00:00+00:00,531
2022-12-03 00:00:00+00:00,532
2022-12-06 00:00:00+00:00,534
2022-12-08 00:00:00+00:00,535
2022-12-10 00:00:00+00:00,536
2022-12-12 00:00:00+00:00,537
2022-12-13 00:00:00+00:00,538
2022-12-14 00:00:00+00:00,541
2022-12-22 00:00:00+00:00,542
2023-01-02 00:00:00+00:00,543
2023-01-05 00:00:00+00:00,545
2023-01-08 00:00:00+00:00,546
2023-01-09 00:00:00+00:00,547
2023-01-10 00:00:00+00:00,548
2023-01-12 00:00:00+00:00,549
2023-01-14 00:00:00+00:00,550
2023-01-16 00:00:00+00:00,551
2023-01-21 00:00:00+00:00,552
2023-01-24 00:00:00+00:00,553
2023-01-29 00:00:00+00:00,554
2023-02-02 00:00:00+00:00,556
2023-02-03 00:00:00+00:00,576
2023-02-04 00:00:00+00:00,579
2023-02-05 00:00:00+00:00,581
2023-02-06 00:00:00+00:00,586
2023-02-07 00:00:00+00:00,588
2023-02-08 00:00:00+00:00,590
2023-02-09 00:00:00+00:00,591
2023-02-10 00:00:00+00:00,592
2023-02-12 00:00:00+00:00,593
2023-02-13 00:00:00+00:00,594
2023-02-15 00:00:00+00:00,595
2023-02-16 00:00:00+00:00,603
2023-02-17 00:00:00+00:00,606
2023-02-20 00:00:00+00:00,611
2023-02-21 00:00:00+00:00,613
2023-02-23 00:00:00+00:00,615
2023-02-24 00:00:00+00:00,617
2023-02-26 00:00:00+00:00,618
2023-02-27 00:00:00+00:00,619
2023-02-28 00:00:00+00:00,620
2023-03-01 00:00:00+00:00,621
2023-03-07 00:00:00+00:00,622
2023-03-09 00:00:00+00:00,623
2023-03-11 00:00:00+00:00,624
2023-03-12 00:00:00+00:00,625
2023-03-15 00:00:00+00:00,626
2023-03-20 00:00:00+00:00,627
2023-03-21 00:00:00+00:00,628
2023-03-23 00:00:00+00:00,631
2023-03-24 00:00:00+00:00,635
2023-03-25 00:00:00+00:00,636
2023-03-26 00:00:00+00:00,641
2023-03-27 00:00:00+00:00,643
2023-03-28 00:00:00+00:00,644
2023-03-29 00:00:00+00:00,645
2023-03-31 00:00:00+00:00,646
2023-04-04 00:00:00+00:00,647
2023-04-06 00:00:00+00:00,648
2023-04-07 00:00:00+00:00,649
2023-04-10 00:00:00+00:00,651
2023-04-12 00:00:00+00:00,652
2023-04-13 00:00:00+00:00,653
